"date","page","query","clicks","impressions","ctr","position"
2017-01-04,"http://digi-women.com/author/admin/","pauline sargent",0,2,0,9
2017-02-10,"http://digi-women.com/two-for-one-at-be-better-at-facebook-for-business/","priya monga",0,1,0,10
2016-12-30,"http://digi-women.com/team-member/liz-lennon-site-design-in-one-day/","liz lennon",0,1,0,3
2017-02-28,"http://digi-women.com/team-member/lorna-keogh/","lorna keogh",0,1,0,2
2017-03-08,"http://digi-women.com/contact-us/","pauline sargent",0,1,0,5
2017-02-15,"http://digi-women.com/we-are-here-women-in-tech/","digi girl",0,1,0,127
2017-01-29,"http://digi-women.com/team-member/elaine-burke-silicon-republic/","elaine burke",0,2,0,2.5
2017-01-17,"http://digi-women.com/zen-hen-by-clare-mulvany/","zen hen",0,1,0,6
2017-01-05,"http://digi-women.com/","digi facebook",0,9,0,8.55555555555556
2017-02-04,"http://digi-women.com/zen-hen-by-clare-mulvany/","clare mulvany",0,2,0,5
2017-02-03,"http://digi-women.com/zen-hen-by-clare-mulvany/","clare mulvany",0,2,0,4
2017-02-14,"http://digi-women.com/dublin-business-school-digiwomen-society/","business school dublin",0,1,0,46
2017-01-07,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dublin business school",0,2,0,38
2017-01-28,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dublin business school",0,2,0,30
2017-02-02,"http://digi-women.com/at-websummit-2014-we-have-3-goals-help-us-realise-them/","oh snap sweden",0,2,0,2
2016-12-27,"http://digi-women.com/dublin-business-school-careers-fair-2016/","dbs castle house",0,1,0,1
2017-02-16,"http://digi-women.com/author/admin/","pauline sargent",0,3,0,9
2017-02-20,"http://digi-women.com/events/2017/02/women-data-science-wids-2017-rutgers-university/","rutgers university data science",0,1,0,32
2017-03-06,"http://digi-women.com/dcu-ryan-academy-event-15th-april-2014/","dcu ryan academy",0,1,0,31
2017-01-27,"http://digi-women.com/making-ireland-click-pauline-sargent/","making ireland click",0,1,0,19
2017-03-04,"http://digi-women.com/shedidit-tara-van-zyl-of-icostume/","taravan",0,2,0,1.5
2017-02-19,"http://digi-women.com/dublin-business-school-digiwomen-society/","dbs dublin",0,1,0,37
2016-12-13,"http://digi-women.com/536/","glowmetrics",0,1,0,61
2017-01-16,"http://digi-women.com/startup-dublin-is-stronger-together/","startup dublin",0,1,0,40
2017-02-13,"http://digi-women.com/team-member/three-thought-bubbles/","three thought bubbles",0,1,0,2
2017-02-03,"http://digi-women.com/team-member/aoife-porter-bua-marketing/","bua marketing",0,1,0,20
2016-12-16,"http://digi-women.com/contact-us/","swipe summit",0,1,0,7
