"date","page","query","device","country","countryName","clicks","impressions","ctr","position"
2017-03-05,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","deu","Germany",0,1,0,44
2017-03-12,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda install rstudio","DESKTOP","bra","Brazil",0,1,0,28
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","rus","Russian Federation",0,1,0,9
2017-02-26,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","mmr","Myanmar",0,1,0,11
2017-03-05,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","aus","Australia",0,1,0,10
2017-03-04,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","fin","Finland",0,1,0,42
2017-03-10,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,53
2017-03-14,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","col","Colombia",0,1,0,9
2017-03-14,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","bra","Brazil",0,1,0,30
2017-03-09,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","pol","Poland",0,1,0,17
2017-03-10,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","usa","United States",0,1,0,10
2017-03-05,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","che","Switzerland",0,1,0,42
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","deu","Germany",0,1,0,10
2017-02-26,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda miniconda","DESKTOP","jpn","Japan",0,1,0,17
2017-03-10,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","conda install r essentials","DESKTOP","usa","United States",0,1,0,32
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","gbr","United Kingdom",0,1,0,33
2017-03-14,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","conda miniconda","DESKTOP","usa","United States",0,1,0,41
2017-02-26,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda miniconda","DESKTOP","chn","China",0,1,0,22
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","rstudio anaconda","DESKTOP","chn","China",0,1,0,44
2017-03-06,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between conda and anaconda","DESKTOP","usa","United States",0,1,0,10
2017-03-05,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","usa","United States",0,1,0,44
2017-03-05,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","rus","Russian Federation",0,1,0,39
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda rstudio","DESKTOP","chn","China",0,1,0,43
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","chn","China",0,1,0,37
2017-03-06,"http://getoptimise.com/blog/industry/business-intelligence-vs-analytics/","business intelligence vs analytics","DESKTOP","usa","United States",0,1,0,56
2017-03-10,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","rus","Russian Federation",0,1,0,46
2017-03-04,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","usa","United States",0,4,0,10
2017-03-10,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model excel","DESKTOP","vnm","Viet Nam",0,1,0,41
2017-03-04,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda anaconda","DESKTOP","chn","China",0,1,0,26
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda r studio","DESKTOP","usa","United States",0,1,0,31
2017-03-06,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science david donoho","DESKTOP","usa","United States",0,1,0,18
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between conda and anaconda","DESKTOP","usa","United States",0,1,0,10
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","deu","Germany",0,1,0,45
2017-03-15,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science david donoho","DESKTOP","irl","Ireland",0,1,0,12
2017-03-12,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator","DESKTOP","usa","United States",0,1,0,41
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","chn","China",0,1,0,36
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","rus","Russian Federation",0,1,0,39
2017-02-26,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,2,0,50
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","python and anaconda difference","DESKTOP","chn","China",0,1,0,44
2017-03-12,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","sgp","Singapore",0,1,0,12
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","nga","Nigeria",0,1,0,10
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between conda and anaconda","DESKTOP","can","Canada",0,1,0,11
2017-03-06,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda vs anaconda","DESKTOP","vnm","Viet Nam",0,1,0,21
2017-03-03,"http://getoptimise.com/blog/uncategorized/50-years-of-data-science/","50 years of data science","DESKTOP","chn","China",0,1,0,16
2017-03-11,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,52
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","mex","Mexico",0,1,0,31
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","esp","Spain",0,1,0,34
2017-03-03,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","fra","France",0,1,0,47
2017-03-16,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","pol","Poland",0,1,0,34
2017-03-03,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda anaconda","DESKTOP","gum","Guam",0,1,0,29
2017-03-14,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","dnk","Denmark",0,1,0,9
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","bra","Brazil",0,1,0,45
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and python","DESKTOP","zzz","Unknown Region",0,1,0,27
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","dza","Algeria",0,1,0,47
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda anaconda","DESKTOP","chn","China",0,1,0,23
2017-03-08,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","difference between anaconda and miniconda","DESKTOP","cze","Czech Republic",0,1,0,9
2017-03-13,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","DESKTOP","twn","Taiwan, Province of China",0,1,0,8
2017-03-05,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda navigator","DESKTOP","vnm","Viet Nam",0,1,0,48
2017-03-15,"http://getoptimise.com/blog/google-analytics/use-google-analytics-to-find-out-which-companies-visit-your-website/","visit your website","DESKTOP","zaf","South Africa",0,1,0,42
2017-03-06,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","tha","Thailand",0,1,0,49
2017-03-12,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","prt","Portugal",0,1,0,32
2017-03-01,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,2,0,53
2017-03-12,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,30
2017-02-26,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda download","DESKTOP","idn","Indonesia",0,1,0,49
2017-02-28,"http://getoptimise.com/blog/business/get-optimise-tiered-pricing-model/","tiered pricing model","DESKTOP","usa","United States",0,1,0,51
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda r studio","DESKTOP","chn","China",0,1,0,35
2017-03-02,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","bra","Brazil",0,2,0,44.5
2017-03-09,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda repository","DESKTOP","ita","Italy",0,1,0,43
2017-03-15,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","miniconda","DESKTOP","bra","Brazil",0,1,0,33
2017-02-27,"http://getoptimise.com/blog/tools/anaconda-vs-miniconda/","anaconda vs miniconda","MOBILE","nga","Nigeria",0,1,0,10
